EventID,NETSTATIONID,LATITUDE,LONGITUDE,MAGNITUDE
2340117,CI.LRL,34.55,-117.43,6.29167362766
914505,AZ.SOL,33.62,-116.47,5.96975668873
3321934,US.NEW,44.85,-117.31,6.89505675081
3378043,CI.SLA,34.55,-117.43,5.24693762055
3320897,PO.TOBO,43.61,-80.06,4.65479089757
3580118,TA.K04D,48.72,-122.71,5.41689991504
2861200,CI.GRA,34.55,-117.43,5.82575793761
2592787,CI.PHL,37.63,-118.84,nan
4417721,CI.Q0076,34.55,-117.43,7.75838133896
4768129,CI.SVD,34.55,-117.43,6.52990676972
4417721,CI.Q0069,34.55,-117.43,8.08039944892
4768129,IU.COR,44.59,-123.30,5.85566032541
914505,UO.DBO,44.20,-122.99,4.20776746328
3334467,TA.I03D,48.72,-122.71,6.78378559313
306450,CI.ISA,34.55,-117.43,3.70143931655
4417721,CI.Q0009,34.55,-117.43,7.80211828415
262373,CI.ISA,34.55,-117.43,3.68128083665
727122,CI.SBC,34.55,-117.43,4.13615880642
2844129,CI.ARV,34.55,-117.43,6.06956810958
4482428,IM.NV02,48.26,-117.13,5.34855010691
3323713,BK.CMB,40.88,-124.08,3.82819771709
628690,LB.DAC,40.43,-117.22,2.18741189783
4768129,UU.OF2,40.86,-112.18,7.51052740301
1684371,CI.GLA,34.55,-117.43,nan
455484,CI.SMTC,34.55,-117.43,7.58325657379
2842975,CI.IRM,34.55,-117.43,7.42956884988
914505,CI.TIN,34.55,-117.43,6.47404669067
4768129,CI.RPV,34.55,-117.43,5.73345799122
2844129,CI.FUR,34.55,-117.43,6.11321074062
2768223,IU.ANMO,34.95,-106.46,5.52542316985
4223014,UO.BUCK,44.20,-122.99,5.26696984965
3334007,TA.H04D,48.72,-122.71,4.35008306772
3334467,IM.NV11,48.26,-117.13,5.458767513
914505,LB.DAC,40.43,-117.22,4.49605906245
2729575,CI.SDD,34.55,-117.43,6.80456968179
255939,II.PFO,34.95,-106.46,4.88057319293
4482428,IM.NV05,48.26,-117.13,5.54357793116
3378043,US.DUG,40.43,-117.22,5.69582669437
4218655,BK.SAO,40.88,-124.08,4.19234832907
4482428,CI.SCZ2,35.13,-118.83,5.72871536103
4417721,US.DUG,40.43,-117.22,6.31757002097
2004466,AZ.CSLB,33.78,-118.11,7.73839203753
843259,AZ.PFO,33.62,-116.47,5.67907107189
306450,CI.SBC,34.55,-117.43,4.3407112454
2340117,IU.RSSD,34.95,-106.46,4.59564232014
4218655,UU.DWU,40.86,-112.18,7.50732545484
3320897,LD.PAL,43.38,-73.67,5.91459174989
4482428,TA.B05D,48.72,-122.71,6.4826565499
2874984,CI.TUQ,34.55,-117.43,3.81801989354
2842975,AZ.RDM,33.62,-116.47,7.27010297783
3321934,TA.I05D,48.72,-122.71,5.67296241551
3337553,TA.L04D,48.72,-122.71,6.94376781829
329122,CI.DGR,34.55,-117.43,11.1239918604
2874984,AZ.RDM,33.62,-116.47,4.42805842919
3334007,CN.LLLB,48.93,-123.74,3.42042449993
2729575,AZ.SMER,33.62,-116.47,6.00156804354
2861200,CI.TIN,34.55,-117.43,7.79930218969
4417721,CI.DEC,34.55,-117.43,8.65343282938
2861200,CI.MPM,34.55,-117.43,7.96452983498
3321934,TA.J05D,48.72,-122.71,5.58253655977
1340890,LB.BMN,40.43,-117.22,4.92305550307
3378043,LB.BMN,40.43,-117.22,5.22012041706
2340117,AZ.KNW,33.62,-116.47,6.81358147023
2861200,CI.CHF,34.55,-117.43,7.71503768047
4417721,BK.SAO,40.88,-124.08,4.31424608184
3377755,IU.COR,44.59,-123.30,4.49869270963
4368968,IU.COR,44.59,-123.30,3.94922566384
4768129,TA.M02C,32.89,-117.11,6.78681489589
2842975,CI.SVD,34.55,-117.43,8.11008559608
4417721,IM.I56H3,48.26,-117.13,nan
2844129,IM.NV01,48.26,-117.13,5.95136521054
3334007,CN.VIB,48.93,-123.74,-0.004240092367
4417721,CI.Q0013,34.55,-117.43,7.78758883626
2842975,IU.COR,44.59,-123.30,5.34222223577
4768129,UU.OCP,40.86,-112.18,7.80129391229
1835120,IU.COR,44.59,-123.30,4.72738134833
4768129,UU.HEB,40.86,-112.18,8.14527521289
2160222,IM.NV31,48.26,-117.13,3.87551612042
843259,CI.USC,34.55,-117.43,6.28765309627
4768129,AZ.HSSP,33.62,-116.47,6.25159900592
2340117,CI.IRM,34.55,-117.43,6.88382947136
3378043,TA.214A,32.89,-117.11,5.020889389
3323713,TA.G03D,48.72,-122.71,6.54012017898
2004466,CI.PHL,34.55,-117.43,7.29463286022
4218655,UU.DCU,40.86,-112.18,8.32194920073
3321934,TA.N02D,48.72,-122.71,5.36274733133
4218655,IM.NV07,48.26,-117.13,6.08322875148
3327016,TA.N23A,27.06,-98.68,6.27815103591
3327016,IU.WVT,34.95,-106.46,6.23841387341
3334467,IM.NV04,48.26,-117.13,5.17976927928
4417721,UO.PINE,44.20,-122.99,5.63513268915
4768129,LB.MVU,40.43,-117.22,6.64720929312
2682053,IU.COR,44.59,-123.30,6.13596620626
4768129,CI.Q0077,34.55,-117.43,6.21600028279
2218025,IU.COR,44.59,-123.30,3.98269292417
3334411,CI.HEC,34.55,-117.43,7.03249945086
3327016,IU.ANMO,34.95,-106.46,5.88973469272
4417721,US.TPNV,40.43,-117.22,6.72539571104
914505,CI.SNCC,34.55,-117.43,5.96919422619
3377755,TA.M02C,48.72,-122.71,5.52350935912
2729575,AZ.LVA2,33.62,-116.47,6.09480118988
4768129,UU.DCU,40.86,-112.18,6.2741566558
4218655,UU.OWUT,40.86,-112.18,6.57183130074
2592787,IU.COR,44.59,-123.30,4.31792214372
351741,CI.DGR,34.55,-117.43,8.2556767422
4599933,US.MSO,44.85,-117.31,7.30084171606
